200
17.4387
37.0242
56.7377
7.641e-11      2.383e-08      2.001e-06      	2.251
3.552e-11      1.191e-08      1.074e-06      	2.286
1.628e-11      5.88e-09       5.675e-07      	2.322
7.348e-12      2.861e-09      2.954e-07      	2.357
3.231e-12      1.373e-09      1.515e-07      	2.392
1.471e-12      6.5e-10        7.65e-08       	2.427
6.373e-13      3.046e-10      3.807e-08      	2.462
2.824e-13      1.407e-10      1.867e-08      	2.497
1.093e-13      6.398e-11      9.023e-09      	2.533
4.897e-14      2.847e-11      4.3e-09        	2.568
2.883e-14      1.277e-11      2.018e-09      	2.603
1.273e-14      5.68e-12       9.353e-10      	2.638
6.603e-15      2.517e-12      4.26e-10       	2.673
7.666e-16      1.084e-12      1.913e-10      	2.709
5.58e-16       4.465e-13      8.457e-11      	2.744
4.25e-16       1.784e-13      3.706e-11      	2.779
8.745e-16      7.367e-14      1.61e-11       	2.814
5.075e-18      3.666e-14      6.851e-12      	2.849
3.75e-18       1.268e-14      2.868e-12      	2.884
5.856e-17      4.741e-15      1.167e-12      	2.92
4.411e-18      5.007e-16      4.591e-13      	2.955
3.119e-17      1.111e-16      1.9e-13        	2.99
1.254e-17      1.019e-16      8.53e-14       	3.025
4.297e-16      1.204e-19      3.497e-14      	3.06
7.302e-16      6.428e-16      1.199e-14      	3.095
2.023e-15      1.452e-15      4.483e-15      	3.131
7.278e-16      6.34e-16       2.923e-15      	3.166
8.643e-17      8.159e-16      2.622e-15      	3.201
1.345e-18      1.776e-18      1.127e-16      	3.236
8.576e-20      1.089e-16      1.125e-15      	3.271
8.98e-16       1.092e-16      1.394e-16      	3.307
3.884e-16      1.434e-17      1.444e-16      	3.342
4.006e-16      1.098e-17      4.298e-17      	3.377
1.036e-17      4.575e-20      4.791e-17      	3.412
5.26e-17       3.659e-16      1.363e-16      	3.447
1.206e-15      4.901e-16      2.025e-17      	3.482
3.605e-16      2.542e-16      1.39e-17       	3.518
9.657e-17      5.853e-16      1.583e-16      	3.553
4.269e-17      7.29e-17       2.626e-18      	3.588
1.361e-16      2.197e-16      2.381e-16      	3.623
1.529e-15      2.494e-16      1.161e-16      	3.658
6.714e-16      1.734e-16      8.944e-19      	3.693
2.984e-16      4.174e-17      1.034e-19      	3.729
8.955e-17      2.471e-17      2.356e-17      	3.764
2.506e-18      8.133e-18      1.024e-16      	3.799
7.566e-17      8.809e-17      3.429e-19      	3.834
3.04e-17       3.583e-17      3.457e-16      	3.869
5.772e-17      3.572e-17      6.434e-17      	3.905
4.27e-17       1.024e-17      2.577e-17      	3.94
3.279e-18      1.351e-16      1.512e-18      	3.975
6.453e-18      5.314e-18      2.348e-17      	4.01
1.369e-16      1.425e-17      2.367e-17      	4.045
6.453e-17      1.783e-16      1.161e-16      	4.08
7.442e-17      4.152e-19      1.491e-17      	4.116
5.517e-17      2.456e-16      6.073e-17      	4.151
9.496e-20      9.06e-17       1.182e-17      	4.186
7.796e-17      3.976e-18      2.434e-16      	4.221
1.408e-16      1.219e-17      4.896e-16      	4.256
1.472e-17      1.254e-16      6.13e-20       	4.291
